1,1,1,0
1,2,1,0
1,3,1,1
1,4,2,0
1,5,1,1
1,6,1,0
1,7,1,0
1,8,2,0
1,9,3,0
1,10,3,0
1,11,3,1
1,12,3,1
1,13,3,0
1,14,4,0
1,15,4,0
1,16,4,1
1,17,3,0
1,18,2,1
1,19,1,0
1,20,2,0
2,1,4,1
2,2,4,1
2,3,4,0
2,4,4,1
2,5,4,0
2,6,3,0
2,7,2,1
2,8,3,0
2,9,2,1
2,10,3,1
2,11,2,1
2,12,3,1
2,13,4,0
2,14,4,1
2,15,3,0
2,16,2,0
2,17,2,0
2,18,2,1
2,19,2,1
2,20,1,1
3,1,3,0
3,2,3,0
3,3,4,1
3,4,4,0
3,5,3,0
3,6,4,0
3,7,4,0
3,8,3,0
3,9,2,0
3,10,3,0
3,11,2,1
3,12,3,0
3,13,2,0
3,14,2,1
3,15,1,0
3,16,2,1
3,17,1,0
3,18,2,1
3,19,2,0
3,20,1,0
4,1,3,0
4,2,3,1
4,3,3,0
4,4,2,0
4,5,2,1
4,6,2,1
4,7,1,0
4,8,1,0
4,9,2,1
4,10,2,1
4,11,1,0
4,12,1,0
4,13,1,0
4,14,1,0
4,15,2,0
4,16,3,0
4,17,3,0
4,18,4,0
4,19,4,1
4,20,4,1
5,1,1,1
5,2,2,1
5,3,1,1
5,4,2,1
5,5,2,0
5,6,1,1
5,7,1,1
5,8,1,1
5,9,1,1
5,10,1,1
5,11,1,0
5,12,2,1
5,13,3,1
5,14,4,0
5,15,3,1
5,16,4,1
5,17,4,1
5,18,4,0
5,19,4,0
5,20,4,0
6,1,1,0
6,2,1,0
6,3,1,1
6,4,1,1
6,5,2,0
6,6,3,0
6,7,2,1
6,8,3,1
6,9,2,1
6,10,3,0
6,11,2,1
6,12,2,0
6,13,2,1
6,14,1,0
6,15,1,0
6,16,1,1
6,17,1,1
6,18,1,1
6,19,1,1
6,20,1,0
7,1,2,0
7,2,3,1
7,3,4,1
7,4,4,1
7,5,4,1
7,6,3,1
7,7,2,0
7,8,2,1
7,9,3,0
7,10,4,1
7,11,4,1
7,12,4,0
7,13,4,0
7,14,4,0
7,15,4,0
7,16,4,0
7,17,4,1
7,18,4,0
7,19,3,1
7,20,3,1
8,1,4,0
8,2,4,0
8,3,3,0
8,4,2,1
8,5,3,1
8,6,4,0
8,7,4,1
8,8,4,1
8,9,3,0
8,10,3,0
8,11,2,0
8,12,1,1
8,13,2,1
8,14,3,1
8,15,4,1
8,16,3,0
8,17,3,1
8,18,2,0
8,19,2,0
8,20,2,0
9,1,1,1
9,2,2,0
9,3,1,0
9,4,1,1
9,5,2,1
9,6,2,1
9,7,1,0
9,8,2,1
9,9,1,1
9,10,1,0
9,11,2,0
9,12,1,1
9,13,1,0
9,14,1,0
9,15,2,0
9,16,1,1
9,17,2,0
9,18,1,0
9,19,1,0
9,20,1,1
10,1,2,1
10,2,2,1
10,3,3,0
10,4,4,1
10,5,4,1
10,6,4,1
10,7,4,1
10,8,3,1
10,9,3,0
10,10,4,1
10,11,4,0
10,12,4,0
10,13,4,0
10,14,4,1
10,15,4,1
10,16,4,1
10,17,3,1
10,18,4,0
10,19,3,1
10,20,2,0
11,1,2,0
11,2,2,0
11,3,2,0
11,4,3,0
11,5,2,1
11,6,2,0
11,7,3,1
11,8,3,1
11,9,4,1
11,10,3,0
11,11,3,0
11,12,3,1
11,13,3,1
11,14,2,0
11,15,3,1
11,16,3,1
11,17,3,1
11,18,3,0
11,19,4,1
11,20,3,0
12,1,1,1
12,2,2,0
12,3,2,0
12,4,2,0
12,5,2,0
12,6,1,0
12,7,2,0
12,8,3,0
12,9,4,0
12,10,4,0
12,11,4,1
12,12,4,1
12,13,4,0
12,14,4,1
12,15,3,1
12,16,4,0
12,17,4,1
12,18,4,0
12,19,4,1
12,20,3,1
13,1,1,1
13,2,1,1
13,3,2,1
13,4,1,1
13,5,2,0
13,6,1,1
13,7,2,0
13,8,3,0
13,9,2,1
13,10,3,0
13,11,4,0
13,12,4,1
13,13,3,0
13,14,4,0
13,15,3,0
13,16,4,1
13,17,4,0
13,18,4,0
13,19,3,0
13,20,3,0
14,1,4,0
14,2,4,0
14,3,4,0
14,4,4,0
14,5,3,0
14,6,2,0
14,7,1,1
14,8,1,1
14,9,2,1
14,10,2,0
14,11,2,1
14,12,3,0
14,13,3,0
14,14,4,1
14,15,3,0
14,16,2,0
14,17,1,0
14,18,1,1
14,19,1,0
14,20,1,1
15,1,4,1
15,2,4,1
15,3,4,0
15,4,4,0
15,5,4,0
15,6,4,1
15,7,4,1
15,8,4,0
15,9,4,1
15,10,4,0
15,11,3,0
15,12,3,1
15,13,3,0
15,14,2,0
15,15,2,1
15,16,3,1
15,17,2,1
15,18,1,1
15,19,1,0
15,20,1,0
16,1,3,1
16,2,3,0
16,3,4,0
16,4,4,0
16,5,4,1
16,6,3,1
16,7,4,0
16,8,4,0
16,9,3,0
16,10,4,1
16,11,4,1
16,12,4,0
16,13,4,1
16,14,4,0
16,15,4,1
16,16,4,1
16,17,4,0
16,18,3,0
16,19,4,0
16,20,4,0
17,1,3,1
17,2,4,1
17,3,4,1
17,4,4,1
17,5,3,1
17,6,2,0
17,7,3,0
17,8,4,0
17,9,4,0
17,10,3,0
17,11,2,1
17,12,2,0
17,13,1,1
17,14,1,1
17,15,2,1
17,16,2,0
17,17,3,0
17,18,4,0
17,19,4,0
17,20,4,0
18,1,3,0
18,2,2,0
18,3,3,1
18,4,4,0
18,5,3,1
18,6,4,1
18,7,4,1
18,8,4,1
18,9,3,0
18,10,4,1
18,11,3,0
18,12,2,1
18,13,3,1
18,14,2,0
18,15,3,1
18,16,4,0
18,17,4,1
18,18,3,0
18,19,3,0
18,20,2,0
19,1,3,0
19,2,3,0
19,3,2,0
19,4,1,0
19,5,1,0
19,6,1,1
19,7,1,0
19,8,2,1
19,9,3,1
19,10,2,1
19,11,3,0
19,12,2,1
19,13,3,1
19,14,2,1
19,15,1,1
19,16,1,1
19,17,1,0
19,18,1,1
19,19,2,1
19,20,2,0
20,1,1,0
20,2,2,1
20,3,3,1
20,4,4,0
20,5,3,0
20,6,4,0
20,7,4,0
20,8,4,1
20,9,4,0
20,10,4,0
20,11,3,1
20,12,2,0
20,13,1,1
20,14,2,0
20,15,2,0
20,16,1,1
20,17,2,1
20,18,1,0
20,19,1,1
20,20,1,1
21,1,1,0
21,2,1,1
21,3,2,1
21,4,2,0
21,5,2,0
21,6,1,1
21,7,1,0
21,8,1,0
21,9,1,1
21,10,1,0
21,11,2,1
21,12,1,0
21,13,2,1
21,14,1,1
21,15,1,1
21,16,2,0
21,17,1,1
21,18,1,1
21,19,1,1
21,20,2,1
22,1,2,0
22,2,1,1
22,3,1,0
22,4,1,0
22,5,2,1
22,6,3,0
22,7,2,0
22,8,3,1
22,9,3,1
22,10,4,1
22,11,4,1
22,12,3,1
22,13,2,1
22,14,3,0
22,15,4,0
22,16,4,1
22,17,4,0
22,18,4,1
22,19,4,1
22,20,4,0
23,1,4,1
23,2,4,1
23,3,4,0
23,4,4,0
23,5,4,0
23,6,3,1
23,7,4,0
23,8,4,1
23,9,4,1
23,10,4,0
23,11,4,1
23,12,3,1
23,13,3,1
23,14,4,0
23,15,4,0
23,16,4,1
23,17,4,1
23,18,3,0
23,19,4,1
23,20,4,0
24,1,4,0
24,2,4,0
24,3,3,1
24,4,3,0
24,5,3,1
24,6,3,0
24,7,3,1
24,8,4,0
24,9,4,1
24,10,4,0
24,11,3,1
24,12,3,1
24,13,4,0
24,14,4,0
24,15,4,1
24,16,4,1
24,17,4,1
24,18,4,1
24,19,3,1
24,20,3,1
25,1,2,1
25,2,3,1
25,3,3,1
25,4,2,0
25,5,1,1
25,6,2,1
25,7,3,1
25,8,2,0
25,9,1,0
25,10,1,0
25,11,2,0
25,12,2,1
25,13,3,0
25,14,4,0
25,15,4,0
25,16,4,1
25,17,4,1
25,18,3,0
25,19,4,0
25,20,4,0
26,1,3,1
26,2,4,0
26,3,4,1
26,4,3,0
26,5,2,0
26,6,2,1
26,7,1,1
26,8,1,1
26,9,1,0
26,10,2,0
26,11,1,1
26,12,1,0
26,13,1,0
26,14,1,1
26,15,1,1
26,16,2,1
26,17,3,0
26,18,2,0
26,19,1,1
26,20,1,0
27,1,1,1
27,2,1,1
27,3,2,1
27,4,2,1
27,5,1,0
